159; 326828; Aureobolétus gentilis; (Quel.) Pouzar (1957); lepljivi zlatopor
160; 519302; Aureobolétus morávicus; (Vacek) Klofac (2010); levjerumeni zlatopor 
;sin; Xerocomus leonis; (D. A. Reid) Alessio (1985);levjerumena polstenka
;sin; Xerocomus moravicus; (Vacek) Herink (1964);moravska polstenka
161; 102281; Auricularia auricula-judae; (Bull.) Quel. (1886); bezgova uhljevka
162; 309392; Auricularia fuscosuccinea; (Mont.) Henn. (1893); sočna uhljevka 
163; 178140; Auricularia mesenterica; (Dicks.) Pers. (1822); brestova uhljevka
164; 101255; Auriscalpium vulgare; Gray (1821); navadna žlička
165; 248806; Badhamia macrocarpa; (Ces.) Rostaf. (1875); velika badhamija
166; 243848; Badhamia panicea; (Fr.) Rostaf. (1873); prosenasta badhamija
167; 271938; Baeospora myosura; (Fr.) Singer (1938); jesenska drobnotroska
168; 271947; Baeóspora myriadophylla; (Peck) Singer (1938); gostolistna drobnotroska
169; 219377; Balsámia vulgaris; Vittad. (1831); navadna balzamija
170; 632022; Baorangia emileorum; (Barbier) Vizzini, Simonini & Gelardi (2015); Emilov cevar
;sin; Boletus emileorum; Barbier (1915);Emilov goban
171; 159853; Battárrea phalloídes; (Dicks.) Pers. (1801); lupinasta puhovka
172; 148575; Bértia morifórmis; (Tode) De Not. (1844); črna kopinovka
173; 531849; Biscogniauxia granmoi; Lar. N. Vassiljeva (1998);čremsina skorjederka
174; 433657; Biscogniauxia nummularia; (Bull.) Kuntze (1891); novčičasta skorjederka
175; 282585; Bispora antennata; (Pers.) E.W. Mason (1953); črna dvotrosovka
176; 119550; Bisporélla subpállida; (Rehm) Dennis (1978); bleda dvotroska
177; 100902; Bjerkandera adusta; ; osmojena bjerkandera
178; 100991; Bjerkandera fumosa; (Pers.) P. Karst. (1879); čokata bjerkandera 
179; 550126; Bogbodia uda;;navlažena šotoživka
;sin; Hypholoma udum; (Pers.) Quél. (1877);šotna žveplenjača
180; 309614; Bolbitius pluteoides;;ščitasti smetiščar
181; 510718; Bolbitius psittácinus; Hauskn., Antonin & Polčak (2007); papagajski smetiščar 
182; 175350; Bolbitius titubans;;olivnorumeni smetiščar
;sin; Bolbitius variicolor; G.F. Atk. (1900);olivni smetiščar
;sin; Bolbitius vitellinus; (Pers.) Fr. (1838);rumeni smetiščar
;sin; Bolbitius vitellinus var. titubans; (Bull.) M.M. Moser ex Bon & Courtec. (1987);rumeni smetiščar, zgubani različek
183; 293748; Boletopsis grisea; (Peck) Bondartsev & Singer (1941); sivi gobanovec
184; 414419; Boletópsis leucomelaéna; (Pers.) Fayod (1889); črni gobanovec
185; 159051; Bolétus aéreus; Bull. (1789); črni goban
186; 327031; Boletus badiorufus; R. Heim (1960); vresin goban
;sin; Xerocomus badiorufus; (R. Heim) Bon (1970);vresina polstenka
187; 356530; Boletus edulis; Bull. (1782); jesenski goban
;sin; Boletus betulicola; (Vassilkov) Pilát & Dermek (1974);brezin goban
;sin; Boletus clavipes; (Peck) Pilat & Dermek (1974);grčasti goban
188; 487978; Bolétus kuthanii; Assyov & Denchev (2004); Kuthanov goban
;sin; Xerocomus flavus; Singer & Kuthan (1976);rumena polstenka
189; 309751; Bolétus pinóphilus; Pilát & Dermek (1973); borov goban
190; 200521; Bolétus reticulátus; Schaff. (1774); poletni goban
;sin; Boletus aestivalis; (Paulet) Fr. (1838);poletni goban
;sin; Boletus carpinaceus; Velen. (1939);gabrov goban
191; 135006; Bolétus thalássinus; (Pilát & Dermek) Hlavaček (1988); modrinasti goban
;sin; Leccinum thalassinum; Pilát & Dermek (1974);modrinasti ded 
192; 105111; Bondarzéwia mesentérica; (Schaff.) Kreisel (1984); gorska bondarčevka
193; 550626; Bonómyces sinópicus; (Fr.) Vizzini (2014); žaltava livčica
;sin; Clitocybe sinopica; (Fr.) P Kumm. (1871);žaltava livka
194; 327088; Botryobasídium áureum; Parmasto (1965); zlatorumena raševinovka
195; 254907; Botryobasídium subcoronátum; (Hóhn. & Litsch.) Donk (1931); skorjasta raSevinovka
196; 255304; Botryobasidium vágum; (Berk. & M.A. Curtis) D.P. Rogers (1935); smrekova raševinovka
;sin; Botryobasidium botryosum; (Bres.) J. Erikss. (1958);smrekova raševinka
197; 293817; Botryosphaeria vísci; (Kalchbr.) Arx & E. Mull. (1954); omelina pikovka
198; 453716; Bovísta graveólens; Schwalb (1893); panonski kadilček
199; 212654; Bovista limosa; Rostr. (1894); nordijski kadilček
200; 204379; Bovísta nigréscens; Pers. (1794); Jajčasti kadilček
201; 209632; Bovista plumbea; Pers. (1795); sivokožni kadilček
202; 209390; Bovísta pusílla; (Batsch) Pers. (1801); mali kadilček
203; 554053; Bovistella utrifórmis; (Bull.) Demoulin & Rebriev (2017); senožetna kadilčnica
;sin; Calvatia utriformis; (Bull.) Jaap (1918);senožetna plešivka
204; 831797; Britzelmáyria multipedata; (Peck) D. Wacht. & A. Melzer (2020); stonoga črnička
;sin; Psathyrella multipedata; (Peck) A.H. Sm. (1941);stonoga črnivka
205; 627170; Brunneóporus malicola; (Berk. & MA Curtis) Audet (2017); rjavkasti rjavoluknjičar
;sin; Antrodia malicola; (Berk. & M.A. Curtis) Donk (1966);rjavkasta trhlica
206; 327205; Buchwaldobolétus hemichrysus; (Berk. & M.A. Curtis) Pilát (1969); zlatični privihanec
;sin; Pulveroboletus hemichrysus; (Berk. & M.A. Curtis) Singer (1962);rumeni privihanec
207; 327206; Buchwaldobolétus lignícola; (Kallenb.) Pilát (1969); jelov privihanec
;sin; Pulveroboletus lignicola; (Kallenb.) E.A. Dick & Snell (1965);jelovi privihanec 
208; 144779; Bulgária inguinans; (Pers.) Fr. (1822); Em necedna bolgarka
209; 816257; Butyrea luteoalba; (P. Karst.) Miettinen (2016); borova maslovka
;sin; Junghuhnia luteoalba; (P. Karst.) Ryvarden (1972);borov drobnopor
210; 803319; Butyribolétus appendiculátus; (Schaff.) D. Arora & J.L. Frank (2014); rumeni maslenec
;sin; Boletus appendiculatus; Schuff. (1774);rumeni goban
211; 803320; Butyriboletus fechtneri; (Velen.) D. Arora & J.L. Frank (2014); Fechtnerjev maslenec
;sin; Boletus fechtneri; Velen. (1922);Fechtnerjev goban
212; 804787; Butyribolétus pseudorégius; (Heinr. Huber) D. Arora & J.L. Frank (2014); lepi maslenec
;sin; Boletus pseudoregius; (Heinr. Huber) Estades (1988);lepi goban 
213; 803323; Butyribolétus régius; (Krombh.) D. Arora & J.L. Frank (2014); kraljevi maslenec
;sin; Boletus regius; Krombh. (1832);kraljevi goban
214; 550632; Butyribolétus roseogríseus; (Sut., M. Gra., M. Kol., Jan. & KFíZ) Viz. & Gel. (2014); jelov maslenec
215; 803326; Butyribolétus subappendiculatus; (Der., Laz. & J. Ves.) D. Arora & J.L. Fran. (2014); nemodreči maslenec
;sin; Boletus subappendiculatus; Dermek, Lazebn. & J. Veselsky (1979);nemodreči goban
216; 132966; Byssomerulius albostramíneus; (Torrend) Hjortstam (1987); zlati pokrivač
;sin; Meruliopsis albostraminea; (Torrend) Julich & Stalpers (1980);zlata pokrivača
217; 327227; Byssomerulius córium; (Pers.) Parmasto (1967); oranžni pokrivač
218; 310031; Byssonéctria fusispora; (Berk.) Rogerson & Korf (1971); vretenastotrosna vatovka
;sin; Inermisia fusispora; (Berk.) Rifai (1968);vretenastotrosna golica
219; 284697; Callistospórium luteo-oliváceum; (Berk. & M.A. Curtis) Singer (1946); olivnorumena žoltotroska
;sin; Callistosporium elaeodes; (Romagn.) Bon (1976);zelenkasta žoltotroska
;sin; Callistosporium xanthophyllum; (Malencon & Bertault) Bon (1976);šopasta žoltotroska
220; 550547; Calobolétus calopus; (Pers.) Vizzini (2014); leponogi postavnež
;sin; Boletus calopus; Pers. (1801);leponogi goban
221; 550548; Calobolétus radícans; (Pers.) Vizzini (2014); grenki postavnež
;sin; Boletus pachypus; Fr. (1815);trebušasti goban
;sin; Boletus radicans; Pers. (1801);grenki goban
222; 237408; Calócera córnea; (Batsch) Fr. (1827); rogasti rožiček
223; 327252; Calócera viscósa; (Pers.) Fr. (1821); lepljivi rožiček
224; 293911; Calócybe alpéstris; (Britzelm.) Singer (1962); gorska lepoglavka
;sin; Rugosomyces alpestris; (Britzelm.) Bon (1991);gorski lepoglavec
225; 327253; Calócybe cárnea; (Bull.) Donk (1962); mesnobarvna lepoglavka
;sin; Rugosomyces carneus; (Bull.) Bon (1991);mesnobarvni lepoglavec
226; 293913; Calócybe chrysénteron; (Bull.) Singer (1962); zlatična lepoglavka
;sin; Rugosomyces chrysenteron; (Bull.) Bon (1991);zlatični lepoglavec
227; 293917; Calócybe gambosa; (Fr.) Donk (1962); majniška lepoglavka
228; 550059; Calócybe gangraénosa; (Fr.) V. Hofst., Moncalvo, Redhead & Vilgalys (2012); smrdeča lepoglavka
;sin; Lyophyllum leucophaeatum; (P. Karst.) P. Karst. (1881);smrdeči zajček
229; 327257; Calocybe ionides; (Bull.) Donk (1962); modrikasta lepoglavka
;sin; Rugosomyces ionides; (Bull.) Bon (1991);modrikasti lepoglavec
230; 327258; Calócybe obscuríssima; (A. Pearson) M.M. Moser (1967); polstena lepoglavka
;sin; Rugosomyces obscurissimus; (A. Pearson) Bon (1991);: polsteni lepoglavec
231; 460567; Calócybe ochrácea; (R. Haller Aar.) Bon (1999); okrasta lepoglavka
;sin; Lyophyllum ochraceum; (R. Haller Aar.) Schwóbel & Reutter (1969);okrasti zajček
232; 553792; Calonárius alnobétulae; (Kuhner) Niskanen & Liimat. (2022); jelšev koprenar
;sin; Cortinarius alnobetulae; Kuhner (1989);jelševa koprenka
233; 553801; Calonárius arcuatórum; (Rob. Henry) Niskanen & Liimat. (2022); živobarvni koprenar
;sin; Cortinarius arcuatorum; Rob. Henry (1939);živobarvna koprenka
234; 553803; Calonárius atróvirens; (Kalchbr.) Niskanen & Liimat. (2022); črnozeleni koprenar
;sin; Cortinarius atrovirens; Kalchbr. (1874);črnozelena koprenka
235; 553851; Calonárius áureofulvus; (M.M. Moser) Niskanen & Liimat. (2022); zlatorumeni koprenar
;sin; Cortinarius aureofulvus; M.M. Moser (1952);zlatorumena koprenka
236; 554104; Calonárius callóchrous; (Pers.) Niskanen & Liimat. (2022); barviti koprenar
