URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/PsathyrellaNoli-tangere;Psathyrella noli-tangere;nažlebičena črnivka;Psathyrélla noli-tángere (Fr.) A. Pearson & Dennis (1948);neužitna
https://www.gobe.si/Gobe/HomophronCernuum;Homophron cernuum;želodasta črnjavka;Homóphron cérnuum (Vahl) Örstadius & E. Larss. (2015);neužitna
https://www.gobe.si/Gobe/GeastrumFornicatum;Geastrum fornicatum;oblokasta zvezdica;Geástrum fornicátum (Huds.) Hook. (1821);<p>geástrum fornicátum (huds.) hook. (1821);neužitna
https://www.gobe.si/Gobe/LycoperdonFloccosum;Lycoperdon floccosum;kosmata prašnica;Lycopérdon floccósum Lloyd (1905);mlada užitna
https://www.gobe.si/Gobe/BovistaLimosa;Bovista limosa;nordijski kadilček;Bovísta limósa Rostr. (1894);mlada užitna
https://www.gobe.si/Gobe/MycetinisPrasiosmus;Mycetinis prasiosmus;porova česnovka;Mycétinis prasiósmus (Fr.) R.H. Petersen, Petersen & Hughes (2017);neužitna
https://www.gobe.si/Gobe/GautieriaMorchelliformis;Gautieria morchelliformis;smrčkasta trebuhovka;Gautiéria morchellifórmis Vittad. (1831);
https://www.gobe.si/Gobe/RheubarbariboletusPersicolor;;;Rheubarbariboletus persicolor (H. Engel, Klofac, H. Grünert & R. Grünert) Vizzini, Simonini & Gelardi (2015);neužitna
https://www.gobe.si/Gobe/EntolomaExile;;;Entoloma exile (Fr.) Hesler (1967);neužitna
https://www.gobe.si/Gobe/EntolomaOchromicaceum;;;Entoloma ochromicaceum Noordel. & Liiv (1992);neužitna
https://www.gobe.si/Gobe/PsathyrellaAmmophila;Psathyrella ammophila;peščinska črnivka;Psathyrélla ammóphila (Durieu & Lév.) P.D. Orton (1960);neužitna
https://www.gobe.si/Gobe/InocybeEuviolacea;;;Inocybe euviolacea E. Ludw. (2017);neužitna
https://www.gobe.si/Gobe/RussulaAlnetorum;Russula alnetorum;jelšina golobica;Rússula alnetórum Romagn. (1956);neužitna
https://www.gobe.si/Gobe/StrophariaMelanosperma;Stropharia melanosperma;črnotrosna strniščnica;Strophária melanospérma (Bull.) Gillet (1878);neužitna
https://www.gobe.si/Gobe/LeratiomycesSquamosus;Leratiomyces squamosus;luskati strniščar;Leratiómyces squamósus (Pers.) Bridge & Spooner (2008);neužitna
