 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
   765. Inócybe míxtilis (Britzelm.) Sacc. (1887)                     igličevna razcepljenka                               S
   766. Inócybe nápipes J.E. Lange (1917)                             repasta razcepljenka                                 S
   767. Inócybe nitidiúscula (Britzelm.) Lapl. (1894)                 friesova razcepljenka                                S
   768. Inócybe oblectábilis (Britzelm.) Sacc. (1895)                 poletna razcepljenka                               UN
   769. Inócybe petiginósa (Fr.) Gillet (1876)                        sivoroba razcepljenka                                S
   770. Inócybe píceae Stangl & Schwöbel (1985)                       smrekina razcepljenka                                S
   771. Inócybe postérula (Britzelm.) Sacc. (1887)                    jesenska razcepljenka                              NU
   772. Inócybe púsio P. Karst. (1889)                                porisana razcepljenka                                S
   773. Inócybe rimósa (Bull.) P. Kumm. (1871)                        zašiljena razcepljenka                               S
   774. Inócybe sambucína (Fr.) Quél. (1872)                          bezgova razcepljenka                                 S
   775. Inócybe sindónia (Fr.) P. Karst. (1879)                       slamnatorumena razcepljenka                          S
   776. Inócybe spléndens R. Heim (1986)                              lepa razcepljenka                                    S
   777. Inócybe squamáta J.E. Lange (1917)                            luskata razcepljenka                                 S
   778. Inócybe tenebrósa Quél. (1885)                                črnobetna razcepljenka                             NU
   779. Inócybe terrígena (Fr.) Kuyper (1985)                         ovenčana razcepljenka                              NU
   780. Inócybe umbrática Quél. (1883)                                belkasta razcepljenka                                S
   781. Inócybe whítei (Berk. & Broome) Sacc. (1887)                  rdečična razcepljenka                                S

136.   INONÓTUS                                                   LUKNJAČI
   782. Inonótus cuticuláris (Bull.) P. Karst. (1879)                 nanizani luknjač                                  NU
   783. Inonótus dryádeus (Pers.) Murrill (1908)                      roseči luknjač                                    NU
   784. Inonótus híspidus (Bull.) P. Karst. (1879)                    sršati luknjač                                    NU
   785. Inonótus nodulósus (Fr.) P. Karst. (1882)                     grčavi luknjač                                    NU
   786. Inonótus oblíquus (Ach. ex Pers.) Pilát (1942)                brezin luknjač                                    NU
   787. Inonótus radiátus (Sowerby) P. Karst. (1881)                  jelšev luknjač                                    NU
   788. Inonótus rheádes (Pers.) Bondartsev & Singer (1941)           trepetlikin luknjač                               NU

137.   ÍRPEX                                                      RAŠPOVCI
   789. Írpex lácteus (Fr.) Fr. (1828)                                belkasti rašpovec                                 NU

138.   ISCHNODÉRMA                                                IRHOVKE
   790. Ischnodérma benzoínum (Wahlenb.) P. Karst. (1881)             smrekova irhovka                           NU, 1490
   791. Ischnodérma resinósum (Schrad.) P. Karst. (1879)              bukova irhovka                             NU, 1489

139.   KRETZSCHMÁRIA                                              OžGANKE
   792. Kretzschmária deústa (Hoffm.) P.M.D. Martin (1970)            črneča ožganka                             NU, 2631

140.   KUEHNERÓMYCES                                              ŠTOROVKE
   793. Kuehnerómyces mutábilis (Schaeff.) Singer & A.H. Sm. (1946)   mala štorovka                                       U



Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                          26
141.   LACCÁRIA                                                    BLEDIVKE
   794. Laccária amethýstina Cooke (1884)                              vijoličasta bledivka              U
   795. Laccária bícolor (Maire) P.D. Orton (1960)                     dvobarvna bledivka                U
   796. Laccária laccáta (Scop.) Cooke (1884)                          rdečkasta bledivka                U
   797. Laccária próxima (Boud.) Pat. (1887)                           mekinasta bledivka          U, 1387
   798. Laccária tórtilis (Bolton) Cooke (1884)                        sloka bledivka                    U

142.   LACRYMÁRIA                                                  ČRNIVCI
   799. Lacrymária lacrymabúnda (Bull.) Pat. (1887)                    kosmati črnivec           PU, 2105

143.   LACTÁRIUS                                                   MLEČNICE, SIROVKE
   800. Lactárius acérrimus Britzelm. (1893)                           kratkobetna mlečnica            NU
   801. Lactárius ácris (Bolton) Gray (1821)                           huda mlečnica                   NU
   802. Lactárius albocárneus Britzelm. (1895)                         spolzka mlečnica                NU
   803. Lactárius aspídeus (Fr.) Fr. (1838)                            močvirska mlečnica              NU
   804. Lactárius aurantíacus (Pers.) Gray (1821)                      oranžna mlečnica                  U
   805. Lactárius azonítes (Bull.) Fr. (1838)                          brezizrazna mlečnica       PU, 3016
   806. Lactárius bádiosanguíneus Kühner & Romagn. (1954)              kostanjasta mlečnica            NU
   807. Lactárius bertillónii (Neuhoff ex Z. Schaef.) Bon (1980)       plišasta mlečnica          NU, 2789
   808. Lactárius blénnius (Fr.) Fr. (1838)                            bukova mlečnica                 NU
   809. Lactárius camphorátus (Bull.) Fr. (1838)                       kafrna mlečnica                   U
   810. Lactárius chrysorrhéus Fr. (1838)                              zlatosočna mlečnica             NU
   811. Lactárius circellátus Fr. (1838)                               gabrova mlečnica                NU
   812. Lactárius citríolens Pouzar (1968)                             citronova mlečnica              NU
   813. Lactárius controvérsus Pers. (1800)                            spodvita mlečnica               NU
   814. Lactárius crémor Fr. (1838)                                    gostosočna mlečnica             NU
   815. Lactárius decípiens Quél. (1885)                               varljiva mlečnica               NU
   816. Lactárius deliciósus (L.) Gray (1821)                          užitna sirovka                    U
   817. Lactárius detérrimus Gröger (1968)                             smrekova sirovka                  U
   818. Lactárius evósmus Kühner & Romagn. (1954)                      vonjava mlečnica                NU
   819. Lactárius flávidus Boud. (1887)                                zlatična mlečnica               NU
   820. Lactárius flexuósus (Pers.) Gray (1821)                        vegasta mlečnica                NU
   821. Lactárius flúens Boud. (1899)                                  rjaveča mlečnica                NU
   822. Lactárius fuliginósus (Fr.) Fr. (1838)                         čadasta mlečnica                 PU
   823. Lactárius fulvíssimus Romagn. (1954)                           blaga mlečnica                    U
   824. Lactárius glaucéscens Crossl. (1900)                           zeleneča mlečnica                 U
   825. Lactárius glyciósmus (Fr.) Fr. (1838)                          cimetova mlečnica                 U
   826. Lactárius hélvus (Fr.) Fr. (1838)                              mekinasta mlečnica               PU
   827. Lactárius hepáticus Plowr. (1905)                              jetrasta mlečnica               NU
   828. Lactárius hýsginus (Fr.) Fr. (1838)                            šekasta mlečnica           NU, 3017
   829. Lactárius illýricus Piltaver (1992)                            ilirska mlečnica                NU
   830. Lactárius lacunárum Romagn. ex Hora (1960)                     kalužna mlečnica                NU
   831. Lactárius lignyótus Fr. (1857)                                 črnikasta mlečnica          U, 2790
   832. Lactárius lilacínus (Lasch) Fr. (1838)                         lilasta mlečnica       NU, RS, 2791
   833. Lactárius máirei Malençon (1939)                               lešnikasta mlečnica             NU
   834. Lactárius mammósus Fr. (1838)                                  kokosova mlečnica          NU, 3019
   835. Lactárius músteus Fr. (1838)                                   moštna mlečnica        NU, RS, 2933
   836. Lactárius obscurátus (Lasch) Fr. (1838)                        jelšina mlečnica                NU
   837. Lactárius omphalifórmis Romagn. (1974)                         lijasta mlečnica                NU
   838. Lactárius pállidus Pers. (1797)                                medla mlečnica                   PU
   839. Lactárius picínus Fr. (1838)                                   smrekova mlečnica               NU
   840. Lactárius piperátus (L.) Pers. (1797)                          poprova mlečnica                 PU
   841. Lactárius pornínsis Rolland (1889)                             macesnova mlečnica               PU
   842. Lactárius pterósporus Romagn. (1949)                           trosokrilna mlečnica            NU
   843. Lactárius pubéscens (Fr.) Fr. (1838)                           barjanska mlečnica               PU
   844. Lactárius pyrógalus (Bull.) Fr. (1838)                         leskina mlečnica                NU
   845. Lactárius quietícolor Romagn. (1958)                           rjava sirovka                     U
   846. Lactárius quiétus (Fr.) Fr. (1838)                             hrastova mlečnica                PU
   847. Lactárius repraesentáneus Britzelm. (1885)                     postavna mlečnica               NU
   848. Lactárius resímus (Fr.) Fr. (1838)                             zavihana mlečnica                PU
   849. Lactárius rubrocínctus Fr. (1863)                              ovratniška mlečnica             NU
   850. Lactárius rúfus (Scop.) Fr. (1838)                             rdečerjava mlečnica              PU



Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                      27
   851. Lactárius ruginósus Romagn. (1957)                                 rebrava mlečnica                                NU
   852. Lactárius salmonícolor R. Heim & Leclair (1953)                    lososova sirovka                                  U
   853. Lactárius sanguífluus (Paulet) Fr. (1838)                          krvosočna sirovka                                 U
   854. Lactárius scrobiculátus (Scop.) Fr. (1838)                         jamičasta mlečnica                               PU
   855. Lactárius semisanguífluus R. Heim & Leclair (1950)                 navadna sirovka                                   U
   856. Lactárius serífluus (DC.) Fr. (1838)                               vodenasta mlečnica                              NU
   857. Lactárius sphagnéti (Fr.) Neuhoff (1956)                           mahova mlečnica                                   U
   858. Lactárius spinósulus Quél. & Le Bret. (1880)                       bodičasta mlečnica                              NU
   859. Lactárius subdúlcis (Pers.) Gray (1821)                            sladkasta mlečnica                                U
   860. Lactárius subumbonátus Lindgr. (1845)                              razbrazdana mlečnica                            NU
   861. Lactárius tábidus Fr. (1838)                                       sfrknjena mlečnica                              NU
   862. Lactárius torminósus (Schaeff.) Gray (1821)                        kosmata mlečnica                                  S
   863. Lactárius triviális (Fr.) Fr. (1838)                               nordijska mlečnica                               PU
   864. Lactárius túrpis (Weinm.) Fr. (1838)                               grda mlečnica                              NU, 1440
   865. Lactárius úvidus (Fr.) Fr. (1838)                                  sluzasta mlečnica                               NU
   866. Lactárius velléreus (Fr.) Fr. (1838)                               polstena mlečnica                                PU
   867. Lactárius viétus (Fr.) Fr. (1838)                                  brezova mlečnica                                NU
   868. Lactárius violáscens (J. Otto) Fr. (1838)                          vijoličasta mlečnica                             PU
   869. Lactárius volémus (Fr.) Fr. (1838)                                 sočna mlečnica                                    U
   870. Lactárius zonarioídes Kühner & Romagn. (1953)                      hribovska mlečnica                              NU
   871. Lactárius zonárius (Bull.) Fr. (1838)                              kolobarčasta mlečnica                           NU

144.   LAETICÓRTICIUM                                                SKORJEVKE
   872. Laeticórticium róseum (Pers.) Donk (1956)                          rožnata skorjevka                           NU, 466

145.   LAETÍPORUS                                                    LEPOLUKNJIČARJI
   873. Laetíporus sulphúreus (Bull.) Murrill (1920)                       žvepleni lepoluknjičar                           PU

146.   LAXITÉXTUM                                                    PASOVCI
   874. Laxitéxtum bícolor (Pers.) Lentz (1956)                            dvobarvni pasovec                               NU

147.   LECCÍNELLUM                                                   DEDKI
   875. Leccínellum crocipódium (Letell.) Bresinsky & Manfr. Binder (2003) žlahtni dedek                         U, Z, RS, 1501

148.   LECCÍNUM                                                      DEDI, TURKI
   876. Leccínum aerugíneum (Fr.) Lannoy & Estadès (1991)                  sivoluski ded                               U, 1497
   877. Leccínum aurantíacum (Bull.) Gray (1821)                           trepetlikov turek                     U, 1496, 1512
   878. Leccínum decípiens (Singer) Pilát & Dermek (1974)                  varljivi turek                                    U
   879. Leccínum duriúsculum (Schulzer ex Kalchbr.) Singer (1947)          trdikasti ded                                     U
   880. Leccínum hólopus (Rostk.) Watling (1960)                           beli ded                                     U, RS
   881. Leccínum piceínum Pilát & Dermek (1974)                            smrečji turek                                     U
   882. Leccínum pseudoscábrum (Kallenb.) Šutara (1989)                    gabrov ded                                  U, 1499
   883. Leccínum scábrum (Bull.) Gray (1821)                               brezov ded                            U, 1514, 2792
   884. Leccínum thalássinum Pilát & Dermek (1974)                         modrinasti ded                               U, RS
   885. Leccínum variícolor Watling (1969)                                 pisani ded                                        U
   886. Leccínum versipélle (Fr. & Hök) Snell (1944)                       brezov turek                          U, 1509, 1518
   887. Leccínum vulpínum Watling (1961)                                   lisičji turek                                     U

149.   LENTINÉLLUS                                                   žILAVKE
   888. Lentinéllus cochleátus (Pers.) P. Karst. (1879)                    janeževa žilavka                                MU
   889. Lentinéllus cochleátus var. ínolens Konrad & Maubl. (1926)         janeževa žilavka, nedišeči različek             MU
   890. Lentinéllus ursínus (Fr.) Kühner (1926)                            medvedja žilavka                                NU

150.   LENTÍNULA                                                     NAZOBČANCI
   891. Lentínula edódes (Berk.) Pegler (1975)                             užitni nazobčanec                                 U

151.   LENTÍNUS                                                      STRNJENKE
   892. Lentínus strigósus Fr. (1825)                                      pusta strnjenka                                 NU
   893. Lentínus tigrínus (Bull.) Fr. (1825)                               tigrasta strnjenka                              NU




Mikološka zveza Slovenije                      OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                        28
152.   LENZÍTES                                                     LENZOVKE
   894. Lenzítes betulína (L.) Fr. (1838)                               brezova lenzovka                                    NU

153.   LEÓTIA                                                       KAPIČARKE
   895. Leótia lúbrica (Scop.) Pers. (1797)                             zdrizasta kapičarka                                 NU

154.   LEPIÓTA                                                      DEžNIČKI
   896. Lepióta brúnneoincarnáta Chodat & C. Martín (1889)              mesnorjavi dežniček                                 SS
   897. Lepióta castánea Quél. (1881)                                   kostanjasti dežniček                               NU
   898. Lepióta clypeolária (Bull.) P. Kumm. (1871)                     obuti dežniček                                     NU
   899. Lepióta clypeolarioídes Rea (1922)                              polobuti dežniček                                  NU
   900. Lepióta cortinárius J.E. Lange (1915)                           koprenasti dežniček                                NU
   901. Lepióta cristáta (Bolton) P. Kumm. (1871)                       smrdljivi dežniček                                   S
   902. Lepióta cristatoídes Einhell. (1973)                            zoprni dežniček                                    NU
   903. Lepióta echinélla Quél. & G.E. Bernard (1888)                   ježasti dežniček                                   NU
   904. Lepióta ermínea (Fr.) P. Kumm. (1871)                           redkvičasti dežniček                               NU
   905. Lepióta felína (Pers.) P. Karst. (1879)                         črnoluski dežniček                                 NU
   906. Lepióta helvéola Bres. (1881)                                   pogubni dežniček                                    SS
   907. Lepióta ignivolváta Bousset & Joss. ex Joss. (1990)             rdečedniščni dežniček                              NU
   908. Lepióta lilácea Bres. (1892)                                    lilasti dežniček                                     S
   909. Lepióta magníspora Murrill (1912)                               zažetotrosni dežniček                         NU, 1562
   910. Lepióta ochráceofúlva P.D. Orton (1960)                         okrasti dežniček                                   NU
   911. Lepióta parvannuláta (Lasch) Gillet (1874)                      travniški dežniček                                 NU
   912. Lepióta pseudolilácea Huijsman (1947)                           varljivi dežniček                                   SS
   913. Lepióta rúfipes Morgan (1906)                                   dvobarvni dežniček                                   S
   914. Lepióta subincarnáta J.E. Lange (1940)                          rožnati dežniček                                     S

155.   LEPÍSTA                                                      KOLESNICE
   915. Lepísta caespitósa (Bres.) Singer (1951)                        pašniška kolesnica                                    U
   916. Lepísta densifólia (J. Favre) Singer & Clémençon (1973)         hostna kolesnica                                    UN
   917. Lepísta fláccida (Sowerby) Pat. (1887)                          podvihana kolesnica                       U, 1566, 1569
   918. Lepísta glaucocána (Bres.) Singer (1951)                        bledovijoličasta kolesnica                            U
   919. Lepísta írina (Fr.) H.E. Bigelow (1959)                         dišeča kolesnica                                      U
   920. Lepísta núda (Bull.) Cooke (1871)                               vijoličasta kolesnica                               PU
   921. Lepísta núda var. lilácina (Quél.) Singer (1951)                vijoličasta kolesnica, lilasti različek             PU
   922. Lepísta panáeolus (Fr.) P. Karst. (1879)                        rebrava kolesnica                                     U
   923. Lepísta personáta (Fr.) Cooke (1871)                            dvobarvna kolesnica                                   U
   924. Lepísta ricékii Bon (1983)                                      poprasta kolesnica                                    U
   925. Lepísta sórdida (Schumach.) Singer (1951)                       umazana kolesnica                                     U

156.   LEPTÓPORUS                                                   SKUTOVKE
   926. Leptóporus móllis (Pers.) Quél. (1886)                          mehka skutovka                               NU, Z, RS

157.   LEUCOAGÁRICUS                                                KUKMAKOVCI
   927. Leucoagáricus americánus (Peck) Vellinga (2000)                 bresadolov kukmakovec                               PU
   928. Leucoagáricus bárssii (Zeller) Vellinga (2000)                  korenasti kukmakovec                           U, 1593
   929. Leucoagáricus carneifólius (Gillet) Wasser (1977)               grbičasti kukmakovec                                 U
   930. Leucoagáricus cineráscens (Quél.) Bon & Boiffard (1978)         sivi kukmakovec                                      U
   931. Leucoagáricus leucothítes (Vittad.) Wasser (1977)               rožnolistni kukmakovec                               U
   932. Leucoagáricus nymphárum (Kalchbr.) Bon (1977)                   dekliški kukmakovec                            U, 1666
   933. Leucoagáricus subcretáceus Bon (1981)                           mekinasti kukmakovec                          UN, 2796

158.   LEUCOCORTINÁRIUS                                             BELOTROSNIKI
   934. Leucocortinárius búlbiger (Alb. & Schwein.) Singer (1945)       koprenasti belotrosnik                               U

159.   LEUCOPAXÍLLUS                                                VELEPODVIHANKE
   935. Leucopaxíllus gentiáneus (Quél.) Kotl. (1966)                   grenka velepodvihanka                                NU
   936. Leucopaxíllus gigánteus (Quél.) Singer (1939)                   orjaška velepodvihanka                                U
   937. Leucopaxíllus macrocéphalus (Schulzer) Bohus (1966)             glavata velepodvihanka                         U, Z, RS
   938. Leucopaxíllus trícolor (Peck) Kühner (1926)                     tribarvna velepodvihanka                       U, Z, RS



Mikološka zveza Slovenije                     OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                         29
160.   LIMACÉLLA                                                   SPOLZENKE
   939. Limacélla delicáta var. gliodérma (Fr.) Gminder (1994)             okusna spolzenka, lepljivi različek         U
   940. Limacélla guttáta (Pers.) Konrad & Maubl. (1949)                   pokapana spolzenka                          U

161.   LOPHÁRIA                                                    ZAVIHANKE
   941. Lophária spadícea (Pers.) Boidin (1959)                            sivorjava zavihanka                        NU

162.   LYCÓGALA                                                    GRAHOVKE
   942. Lycógala epidéndrum (J.C. Buxb. ex L.) Fr. (1829)                  razbarvana grahovka                        NU

163.   LYCOPÉRDON                                                  PRAŠNICE
   943. Lycopérdon decípiens Durieu & Mont. (1848)                         varljiva prašnica                          MU
   944. Lycopérdon echinátum Pers. (1794)                                  ježasta prašnica                           MU
   945. Lycopérdon excipulifórme (Scop.) Pers. (1801)                      visoka prašnica                        MU, 264
   946. Lycopérdon floccósum Lloyd (1905)                                  kosmata prašnica                           MU
   947. Lycopérdon lívidum Pers. (1809)                                    pašniška prašnica                          MU
   948. Lycopérdon mammifórme Pers. (1801)                                 zastrta prašnica                           MU
   949. Lycopérdon marginátum Vittad. (1842)                               jajčasta prašnica                          MU
   950. Lycopérdon mólle Pers. (1801)                                      rjava prašnica                             MU
   951. Lycopérdon nigréscens Pers. (1794)                                 smradna prašnica                      NU, 1631
   952. Lycopérdon perlátum Pers. (1796)                                   betičasta prašnica                         MU
   953. Lycopérdon praténse Pers. (1797)                                   travniška prašnica                    MU, 2632
   954. Lycopérdon pyrifórme Schaeff. (1774)                               hruškasta prašnica                         NU
   955. Lycopérdon umbrínum Pers. (1801)                                   iglična prašnica                           NU
   956. Lycopérdon utrifórme Bull. (1791)                                  senožetna prašnica                     MU, 265

164.   LYOPHÝLLUM                                                  ZAJČKI
   957. Lyophýllum connátum (Schumach.) Singer (1939)                      beli zajček                                NU
   958. Lyophýllum crassifólium (Fr.) Singer (1943)                        debelolistni zajček                         U
   959. Lyophýllum decástes (Fr.) Singer (1951)                            rjavi zajček                                U
   960. Lyophýllum deliberátum (Britzelm.) Kreisel (1984)                  okajeni zajček                              U
   961. Lyophýllum fumósum (Pers.) P.D. Orton (1960)                       sivi zajček                                 U
   962. Lyophýllum immúndum (Berk.) Kühner (1938)                          umazani zajček                             NU
   963. Lyophýllum konradiánum (Maire) Kühner & Romagn. (1953)             konradov zajček                            NU
   964. Lyophýllum leucophaeátum (P. Karst.) P. Karst. (1881)              smrdeči zajček                             NU
   965. Lyophýllum loricátum (Fr.) Kühner ex Kalamees (1994)               trdokožni zajček                            U
   966. Lyophýllum semitále (Fr.) Kühner (1938)                            vlažnorobi zajček                          UN
   967. Lyophýllum transfórme (Sacc.) Singer (1943)                        podvihani zajček                            U

165.   MACROCYSTÍDIA                                               VELEMEŠIČKARICE
   968. Macrocystídia cúcumis (Pers.) Joss. (1934)                         ogurčna velemešičkarica                    NU

166.   MACROLEPIÓTA                                                DEžNIKI
   969. Macrolepióta affínis (Velen.) Bon (1977)                           gostoluski dežnik                            U
   970. Macrolepióta excoriáta (Schaeff.) Wasser (1978)                    poljski dežnik                               U
   971. Macrolepióta gracilénta (Krombh.) Wasser (1978)                    seskasti dežnik                        U, 1669
   972. Macrolepióta konrádii (Huijsman ex P.D. Orton) M.M. Moser (1967)   konradov dežnik                              U
   973. Macrolepióta mastoídea (Fr.) Singer (1951)                         grbičasti dežnik                             U
   974. Macrolepióta oliváscens Singer & M.M. Moser (1961)                 zelenoklobučni dežnik                        U
   975. Macrolepióta permíxta (Barla) Pacioni (1979)                       sramežljivi dežnik                           U
   976. Macrolepióta procéra (Scop.) Singer (1948)                         orjaški dežnik                               U
   977. Macrolepióta próminens (Sacc.) M.M. Moser (1967)                   beli dežnik                                  U

167.   MACROTÝPHULA                                                KIJEVCI
   978. Macrotýphula filifórmis (Bull.) Paechn. (1987)                     ločkov kijevec                             NU

168.   MARASMIÉLLUS                                                SEHLIČKE
   979. Marasmiéllus raméalis (Bull.) Singer (1948)                        vejina sehlička                            NU




Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                     30
169.   MARÁSMIUS                                                 SEHLICE
   980. Marásmius androsáceus (L.) Fr. (1838)                        nitasta sehlica                   NU
   981. Marásmius bulliárdii Quél. (1878)                            bulliardova sehlica               NU
   982. Marásmius cocháerens (Pers.) Cooke & Quél. (1878)            trdobetna sehlica                 NU
   983. Marásmius collínus (Scop.) Singer (1942)                     mazasta sehlica                   NU
   984. Marásmius epiphylloídes (Rea) Sacc. & Trotter (1925)         bršljanova sehlica           NU, 2805
   985. Marásmius epiphýllus (Pers.) Fr. (1838)                      listožilna sehlica                NU
   986. Marásmius oréades (Bolton) Fr. (1836)                        dišeča sehlica                      U
   987. Marásmius prasiósmus (Fr.) Fr. (1838)                        porova sehlica                    NU
   988. Marásmius rótula (Scop.) Fr. (1838)                          ovratniška sehlica                NU
   989. Marásmius torquéscens Quél. (1872)                           volčičja sehlica                  NU
   990. Marásmius wýnnei Berk. & Broome (1860)                       vijoličasta sehlica               NU

170.   MEGACOLLÝBIA                                              VELEKORENOVKE
   991. Megacollýbia platyphýlla (Pers.) Kotl. & Pouzar (1972)       širokolistna velekorenovka        PU

171.   MELANOLÉUCA                                               GOSTOLISTKE
   992. Melanoléuca arcuáta (Bull.) Singer (1935)                    črnikasta gostolistka              U
   993. Melanoléuca brévipes (Bull.) Pat. (1900)                     kratkobetna gostolistka            U
   994. Melanoléuca cognáta (Fr.) Konrad & Maubl. (1927)             zgodnja gostolistka                U
   995. Melanoléuca evenósa (Sacc.) Konrad (1927)                    gorska gostolistka                 U
   996. Melanoléuca graminícola (Velen.) Kühner & Maire (1934)       travna gostolistka                 U
   997. Melanoléuca grammopódia (Bull.) Murrill (1914)               črtasta gostolistka               NU
   998. Melanoléuca húmilis (Pers.) Pat. (1900)                      mekinasta gostolistka              U
   999. Melanoléuca kavínae (Pilát & Veselý) Singer (1936)           čebulasta gostolistka              U
  1000. Melanoléuca melaléuca (Pers.) Murrill (1911)                 navadna gostolistka                U
  1001. Melanoléuca polioléuca (Fr.) Kühner & Maire (1934)           pegasta gostolistka               NU
  1002. Melanoléuca stríctipes (P. Karst.) Jul. Schäff. (1951)       tenkobetna gostolistka             U
  1003. Melanoléuca strídula (Fr.) Singer (1943)                     vonjava gostolistka                U
  1004. Melanoléuca subbrévipes Métrod (1942)                        široka gostolistka                 U
  1005. Melanoléuca substríctipes Kühner (1978)                      planinska gostolistka              U

172.   MERIPÍLUS                                                 VELEZRAŠČENKE
  1006. Meripílus gigánteus (Pers.) P. Karst. (1882)                 črneča velezraščenka              MU

173.   MERÚLIUS                                                  ZGUBANCI
  1007. Merúlius tremellósus Schrad. (1794)                          drhtavi zgubanec                  NU

174.   MORCHÉLLA                                                 SMRČKI
  1008. Morchélla esculénta (L.) Pers. (1801)                        užitni smrček                     PU

175.   MUTÍNUS                                                   KLINČKI
  1009. Mutínus canínus (Huds.) Fr. (1849)                           pasji klinček                     NU
  1010. Mutínus élegans (Mont.) E. Fisch. (1888)                     lepi klinček                      NU

176.   MYCÉNA                                                    ČELADICE
  1011. Mycéna álba (Bres.) Kühner (1938)                            belkasta čeladica                 NU
  1012. Mycéna aurántiomargináta (Fr.) Quél. (1872)                  žoltoroba čeladica                NU
  1013. Mycéna crocáta (Schrad.) P. Kumm. (1871)                     žoltosočna čeladica               NU
  1014. Mycéna epipterýgia (Scop.) Gray (1821)                       prevlečena čeladica               NU
  1015. Mycéna epipterygioídes A. Pearson (1919)                     vlecljiva čeladica                NU
  1016. Mycéna galericuláta (Scop.) Gray (1821)                      nagubana čeladica                 NU
  1017. Mycéna gálopus (Pers.) P. Kumm. (1871)                       mlečna čeladica                   NU
  1018. Mycéna haemátopus (Pers.) P. Kumm. (1871)                    krvobetna čeladica                NU
  1019. Mycéna inclináta (Fr.) Quél. (1872)                          pripognjena čeladica              NU
  1020. Mycéna latifólia (Peck) A.H. Sm. (1935)                      širokolistna čeladica             NU
  1021. Mycéna leptocéphala (Pers.) Gillet (1876)                    klorova čeladica                  NU
  1022. Mycéna maculáta P. Karst. (1890)                             pegasta čeladica                  NU
  1023. Mycéna peliánthina (Fr.) Quél. (1872)                        temnolistna čeladica              NU
  1024. Mycéna polygrámma (Bull.) Gray (1821)                        nažlebičena čeladica               U



Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                      31
  1025. Mycéna pterígena (Fr.) P. Kumm. (1871)                            steljina čeladica             NU
  1026. Mycéna púra (Pers.) P. Kumm. (1871)                               redkvičasta čeladica           S
  1027. Mycéna renáti Quél. (1886)                                        renejeva čeladica             NU
  1028. Mycéna rósea Gramberg (1912)                                      strupena čeladica              S
  1029. Mycéna rosélla (Fr.) P. Kumm. (1871)                              rožnata čeladica              NU
  1030. Mycéna sanguinolénta (Alb. & Schwein.) P. Kumm. (1871)            krvosočna čeladica            NU
  1031. Mycéna sílvae-nígrae Maas Geest. & Schwöbel (1987)                alkalna čeladica              NU
  1032. Mycéna stipáta Maas Geest. & Schwöbel (1987)                      šopasta čeladica              NU
  1033. Mycéna strobilícola J. Favre & Kühner (1938)                      storževa čeladica             NU
  1034. Mycéna tintinnábulum (Paulet) Quél. (1872)                        zvončkuljasta čeladica        NU
  1035. Mycéna vítilis (Fr.) Quél. (1872)                                 dolgobetna čeladica           NU
  1036. Mycéna vulgáris (Pers.) P. Kumm. (1871)                           navadna čeladica              NU
  1037. Mycéna zéphirus (Fr.) P. Kumm. (1871)                             zefirna čeladica              NU

177.   MYCÉTINIS                                                    ČESNOVKE
  1038. Mycétinis alliáceus (Jacq.) Earle ex A.W. Wilson & Desjardin (2005) dolgobetna česnovka     U, 1677
  1039. Mycétinis scorodónius (Fr.) A.W. Wilson & Desjardin (2005)          navadna česnovka        U, 1689

178.   NÉCTRIA                                                      BRADAVIČKE
  1040. Néctria cinnabárina (Tode) Fr. (1849)                             cinobrasta bradavička         NU

179.   NEOLENTÍNUS                                                  NAZOBČANKE
  1041. Neolentínus lepídeus (Fr.) Redhead & Ginns (1985)                 luskata nazobčanka            NU
  1042. Neolentínus scháefferi Redhead & Ginns (1985)                     latvičasta nazobčanka         NU

180.   OMPHALÓTUS                                                   LIVKARJI
  1043. Omphalótus oleárius (DC.) Singer (1948)                           oljkov livkar                  S

181.   ÓNNIA                                                        PLOŠČKI
  1044. Ónnia leporína (Fr.) H. Jahn (1978)                               smrekov plošček               NU
  1045. Ónnia tomentósa (Fr.) P. Karst. (1889)                            poletni plošček               NU

182.   ONÝGENA                                                      ROžEVINKE
  1046. Onýgena equína (Willd.) Pers. (1800)                              kopitna roževinka             NU

183.   OTÍDEA                                                       UŠESA
  1047. Otídea alutácea (Pers.) Massee (1895)                             rjavo uho                     NU
  1048. Otídea cochleáta (Huds.) Fuckel (1870)                            polžasto uho                  NU
  1049. Otídea leporína (Batsch) Fuckel (1870)                            zajčje uho                     U
  1050. Otídea onótica (Pers.) Fuckel (1870)                              oslovsko uho                   U

184.   OUDEMANSIÉLLA                                                ŠIROKOLISTKE
