 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  108. Bisporélla citrína (Batsch) Korf & S.E. Carp. (1974)                    rumena dvotroska                      NU

24.     BJERKÁNDERA                                                     BJERKANDERE
  109. Bjerkándera adústa (Willd.) P. Karst. (1879)                            osmojena bjerkandera                  NU
  110. Bjerkándera fumósa (Pers.) P. Karst. (1879)                             čokata bjerkandera                    NU

25.     BOLBÍTIUS                                                       SMETIŠČARJI
  111. Bolbítius títubans (Bull.) Fr. (1838)                                   rumeni smetiščar             NU, 192, 193

26.     BOLETÓPSIS                                                      GOBANOVCI
  112. Boletópsis grísea (Peck) Bondartsev & Singer (1941)                     sivi gobanovec                       MU
  113. Boletópsis leucomeláena (Pers.) Fayod (1889)                            črni gobanovec                    MU, RS

27.     BOLÉTUS                                                         GOBANI
  114. Bolétus áereus Bull. (1789)                                             črni goban                               U
  115. Bolétus appendiculátus Schaeff. (1763)                                  rumeni goban                             U
  116. Bolétus badiorúfus R. Heim (1960)                                       vresin goban                       U, 2652
  117. Bolétus bádius (Fr.) Fr. (1832)                                         kostanjasti goban                  U, 2653
  118. Bolétus cálopus Pers. (1801)                                            leponogi goban                          NU
  119. Bolétus carpináceus Velen. (1939)                                       gabrov goban                             U
  120. Bolétus depilátus Redeuilh (1986)                                       jamičasti goban                          U
  121. Bolétus dupáinii Boud. (1902)                                           dupainov goban                   PU, Z, RS
  122. Bolétus edúlis Bull. (1782)                                             jesenski goban           U, 203, 209, 2970



Mikološka zveza Slovenije                      OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                  11
  123. Bolétus erýthropus Pers. (1796)                                   žametasti goban                                 PU
  124. Bolétus féchtneri Velen. (1922)                                   fechtnerjev goban                                U
  125. Bolétus ferrugíneus Schaeff. (1762)                               datljev goban                              U, 2657
  126. Bolétus flávus With. (1801)                                       rumenkasti goban                           U, 2658
  127. Bolétus frágrans Vittad. (1835)                                   dišeči goban                              U, Z, RS
  128. Bolétus impolítus Fr. (1838)                                      preprosti goban                                  U
  129. Bolétus legáliae Pilát (1968)                                     krasni goban                                    PU
  130. Bolétus lupínus Fr. (1838)                                        volčji goban                                     S
  131. Bolétus luridifórmis var. discolor (Quél.) Krieglst. (1991)       prašičji goban, oranžni različek      PU, 211, 230
  132. Bolétus luridiformis var. junquílleus (Quél.) Knudsen (1991)      prašičji goban, žolti različek             PU, 216
  133. Bolétus lúridus Schaeff. (1774)                                   svinjski goban                                  PU
  134. Bolétus morávicus Vacek (1946)                                    moravski goban                             U, 2661
  135. Bolétus pinóphilus Pilát & Dermek (1973)                          borov goban                                      U
  136. Bolétus pseudorégius (Heinr. Huber) Estadès (1988)                lepi goban                                       U
  137. Bolétus pulveruléntus Opat. (1836)                                spreminjavi goban                                U
  138. Bolétus quelétii Schulzer (1885)                                  queletov goban                                  PU
  139. Bolétus radícans Pers. (1801)                                     grenki goban                                    NU
  140. Bolétus régius Krombh. (1832)                                     kraljevi goban                            U, Z, RS
  141. Bolétus reticulátus Schaeff. (1774)                               poletni goban                               U, 201
  142. Bolétus rhodopurpúreus Smotl. (1952)                              škrlatni goban                                  PU
  143. Bolétus rhodoxánthus (Krombh.) Kallenb. (1925)                    rdečerumeni goban                               PU
  144. Bolétus sátanas Lenz (1831)                                       vražji goban                              S, Z, RS
  145. Bolétus subappendiculátus Dermek, Lazebn. & J. Veselský (1979)    nemodreči goban                                  U
  146. Bolétus subtomentósus L. (1753)                                   polsteni goban                             U, 2666
  147. Bolétus torósus Fr. & Hök (1835)                                  težki goban                             NU, Z, RS

28.   BONDARZÉWIA                                                  BONDARČEVKE
  148. Bondarzéwia mesentérica (Schaeff.) Kreisel (1984)                 gorska bondarčevka                      MU, Z, RS

29.   BOVÍSTA                                                      KADILČKI
  149. Bovísta dermoxántha (Vittad.) De Toni (1888)                      mali kadilček                             MU, 248
  150. Bovísta nigréscens Pers. (1794)                                   jajčasti kadilček                             MU
  151. Bovísta plúmbea Pers. (1795)                                      sivokožni kadilček                            MU

30.   BUCHWALDOBOLÉTUS                                             PRIVIHANCI
  152. Buchwaldobolétus hemichrýsus (Berk. & M.A. Curtis) Pilát (1969)   rumeni privihanec                   U, Z, RS, 2149
  153. Buchwaldobolétus lignícola (Kallenb.) Pilát (1969)                jelov privihanec                    U, Z, RS, 2150

31.   BULGÁRIA                                                     BOLGARKE
  154. Bulgária ínquinans (Pers.) Fr. (1822)                             nečedna bolgarka                               NU

32.   BYSSOMERÚLIUS                                                POKRIVAČI
  155. Byssomerúlius córium (Pers.) Parmasto (1967)                      oranžni pokrivač                         NU, 1729

33.   CALÓCERA                                                     ROžIČKI
  156. Calócera córnea (Batsch) Fr. (1827)                               rogasti rožiček                                NU
  157. Calócera viscósa (Pers.) Fr. (1821)                               lepljivi rožiček                               NU

34.   CALÓCYBE                                                     LEPOGLAVKE
  158. Calócybe gambósa (Fr.) Donk (1962)                                majniška lepoglavka                             U

35.   CALVÁTIA                                                     PLEŠIVKE
  159. Calvátia cyathifórmis (Bosc) Morgan (1890)                        skledasta plešivka                             MU
  160. Calvátia gigántea (Batsch) Lloyd (1904)                           orjaška plešivka                   MU, Z, RS, 1487

36.   CANTHARÉLLULA                                                LISIČKARICE
  161. Cantharéllula umbonáta (J.F. Gmel.) Singer (1936)                 lijasta lisičkarica                             U




Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                         12
37.   CANTHARÉLLUS                                                LISIČKE
  162. Cantharéllus amethýsteus (Quél.) Sacc. (1887)                      luskata lisička                              U, 273
  163. Cantharéllus cibárius Fr. (1821)                                   navadna lisička                                   U
  164. Cantharéllus cinéreus (Pers.) Fr. (1821)                           siva lisička                                      U
  165. Cantharéllus fríesii Quél. (1872)                                  žametna lisička                                   U
  166. Cantharéllus ianthinoxánthus (Maire) Kühner (1947)                 gubasta lisička                                   U
  167. Cantharéllus melanoxéros Desm. (1830)                              črneča lisička                                    U

38.   CATATHÉLASMA                                                DVOVENČNICE
  168. Catathélasma imperiále (Quél.) Singer (1940)                       kolobarna dvovenčnica                   U, Z, RS

39.   CERIPÓRIA                                                   JAMIČARJI
  169. Ceripória purpúrea (Fr.) Donk (1971)                               škrlatni jamičar                                NU

40.   CERRÉNA                                                     ZVITOLUKNJIČARJI
  170. Cerréna unícolor (Bull.) Murrill (1903)                            pepelasti zvitoluknjičar                        NU

41.   CHALCÍPORUS                                                 BAKRENOPORI
  171. Chalcíporus piperátus (Bull.) Bataille (1908)                      pekoči bakrenopor                               NU

42.   CHAMÁEMYCES                                                 NOGOVIČARJI
  172. Chamáemyces frácidus (Fr.) Donk (1962)                             orošeni nogavičar                               NU

43.   CHLOROCIBÓRIA                                               ZELENIVCI
  173. Chlorocibória aerugináscens (Nyl.) Kanouse ex C.S. Ramamurthi, Korf & L.R. Batra (1958) zelenkasti zelenivec       NU

44.   CHLOROPHÝLLUM                                               ZELENOLISTKE
  174. Chlorophýllum rachódes (Vittad.) Vellinga (2002)                   rdečeča zelenolistka                        U, 1667

