125.;372473;2657;Xerocomus ferrugineus;Bolétus ferrugíneus;datljev goban;U;datljeva polstenka
126.;141943;2658;Suillus grevillei;Bolétus flávus;rumenkasti goban;U;rumena polstenka
127.;247434;213;Lanmaoa fragrans;Bolétus frágrans;dišeči goban;U, Z, RS;
128.;218213;215;Boletus impolitus;Bolétus impolítus;preprosti goban;U;
129.;327048;217;Rubroboletus legaliae;Bolétus legáliae;krasni goban;PU;
130.;247160;218;Rubroboletus lupinus;Bolétus lupínus;volčji goban;S;volčja globanja, volčjak
131.;354845;211, 230;Boletus luridiformis var. discolor;Bolétus luridifórmis var. discolor;prašičji goban, oranžni različek;PU;žametasti goban, svetla podvrsta, queletov goban, oranžni različek
132.;354822;216;Neoboletus junquilleus;Bolétus luridiformis var. junquílleus;prašičji goban, žolti različek;PU;žolti goban, rumena noroglavka
133.;246945;220;Suillellus luridus;Bolétus lúridus;svinjski goban;PU;črni goban, mrežastonogi goban, norica, noroglavka, ponoreli borovnik, rdečerepi goban, rdečerepka, šostar, šustar
134.;282394;2661;Xerocomus moravicus;Bolétus morávicus;moravski goban;U;moravska polstenka
135.;309751;223;Boletus pinophilus;Bolétus pinóphilus;borov goban;U;jelkov goban, borovik, borovnik, borovšnica, brisek, globanja, golobaja, grib, gribanja, jelkov jurček, jelovec, jurček, kravša, smrekovec, užitni goban
136.;132920;225;Boletus pseudoregius;Bolétus pseudorégius;lepi goban;U;
137.;225832;228;Cyanoboletus pulverulentus;Bolétus pulveruléntus;spreminjavi goban;U;
138.;228200;229;Suillellus queletii;Bolétus quelétii;queletov goban;PU;slavonski goban
139.;194664;232;Caloboletus radicans;Bolétus radícans;grenki goban;NU;
140.;201986;233;Butyriboletus regius;Bolétus régius;kraljevi goban;U, Z, RS;
141.;200521;201;Boletus reticulatus;Bolétus reticulátus;poletni goban;U;jurček, pšeničnik, globaja, gerbaja, ajdovček, dedec, globanja, gribanja, hrastovec, jurček, kravica, kravša, poletni jurček, posvinjka, pšenični goban, špicelj, žlahtni goban
142.;102959;234;Imperator rhodopurpureus;Bolétus rhodopurpúreus;škrlatni goban;PU; 
143.;276448;235;Rubroboletus rhodoxanthus;Bolétus rhodoxánthus;rdečerumeni goban;PU;
144.;232959;237;Rubroboletus satanas;Bolétus sátanas;vražji goban;S, Z, RS;goba vrag, hudičev goban, hudičevka, krvavica, noroglavka, satanski borovnik, steklača, svinjski goban, vražja goba, kačnica
145.;309803;240;Boletus subappendiculatus;Bolétus subappendiculátus;nemodreči goban;U;
146.;216300;2666;Xerocomus subtomentosus;Bolétus subtomentósus;polsteni goban;U;navadna polstenka, kosmatinka, maveljček, mehkuž, mekuž, navadni mavel, navadni mavelj
147.;156252;241;Imperator torosus;Bolétus torósus;težki goban;NU, Z, RS;
148.;105111;242;Bondarzewia mesenterica;Bondarzéwia mesentérica;gorska bondarčevka;MU, Z, RS;
149.;202756;248;Bovista dermoxantha;Bovísta dermoxántha;mali kadilček;MU;
150.;204379;246;Bovista nigrescens;Bovísta nigréscens;jajčasti kadilček;MU;
151.;209632;247;Bovista plumbea;Bovísta plúmbea;sivokožni kadilček;MU;prdec, hudičev tobak
152.;327205;2149;Chalciporus hemichrysus;Buchwaldobolétus hemichrýsus;rumeni privihanec;U, Z, RS; 
153.;327206;2150;Buchwaldoboletus lignicola;Buchwaldobolétus lignícola;jelov privihanec;U, Z, RS;
154.;144779;250;Bulgaria inquinans;Bulgária ínquinans;nečedna bolgarka;NU;
155.;327227;1729;Byssomerulius corium;Byssomerúlius córium;oranžni pokrivač;NU;oranžna pokrivača
156.;237408;257;Calocera cornea;Calócera córnea;rogasti rožiček;NU;
157.;327252;258;Calocera viscosa;Calócera viscósa;lepljivi rožiček;NU;rumeni rožički
